channel_id,trending_video_count,subscriber_count,video_count,trending_ratio
UCV9_KinVpV-snHe3C3n1hvA,1,18600000.0,573.0,0.0017452006980802793
UCVTQuK2CaWaTgSsoNkn5AiQ,11,3080000.0,10581.0,0.0010395992817314053
UCVTlSe6q6Z7xwSZeSxPttMw,1,489000.0,50.0,0.02
UCVTyTA7-g9nopHeHbeuvpRA,42,5140000.0,5957.0,0.007050528789659225
UCViLvZvgdut2iJiKU33NQrQ,4,1920000.0,58540.0,6.83293474547318e-05
UCVmEbEQUGXHVm-O9pqa3JWg,12,16500000.0,208.0,0.057692307692307696
UCVttQE6tS_agDSAU61Q65aA,3,12700000.0,154.0,0.01948051948051948
UCVxTHEKKLxNjGcvVaZindlg,1,296000.0,192.0,0.005208333333333333
UCW3T8dQVEynwj6-_DArcM7w,1,2070000.0,26175.0,3.8204393505253104e-05
UCW3VI9s3Dw8o1ekgjI3FCzw,9,15900000.0,2359.0,0.0038151759220008477
UCW6-BQWFA70Dyyc7ZpZ9Xlg,1,882000.0,3017.0,0.00033145508783559825
UCWACD_NdQo00BhutSXMKa-w,1,4350000.0,299.0,0.0033444816053511705
UCWB212HLA4MyZBpn0qlBpXA,1,822000.0,6026.0,0.00016594756057085962
UCWFKCr40YwOZQx8FHU_ZqqQ,1,9650000.0,1436.0,0.0006963788300835655
UCWJ2lWNubArHWmf3FIHbfcQ,5,23300000.0,70289.0,7.11348859707778e-05
UCWOA1ZGywLbqmigxE4Qlvuw,33,31800000.0,8418.0,0.003920171062009979
UCWRV5AVOlKJR1Flvgt310Cw,6,10500000.0,346.0,0.017341040462427744
UCWTFGPpNQ0Ms6afXhaWDiRw,1,956000.0,96.0,0.010416666666666666
UCWV3obpZVGgJ3j9FVhEjF2Q,2,18400000.0,8110.0,0.0002466091245376079
UCWXCrItCF6ZgXrdozUS-Idw,1,12900000.0,1624.0,0.0006157635467980296
UCWcrr8Q9INGNp-PTCLTzc8Q,1,8220000.0,201.0,0.004975124378109453
UCWk-7Yosyvzln9ZzJg8BvVg,1,4870000.0,162920.0,6.137981831573779e-06
UCWkYXtnAuu7VTLPwUcRSB6A,1,12000000.0,157.0,0.006369426751592357
UCWqyzn3cDkRDh3kRGWrIQwA,21,8560000.0,8352.0,0.002514367816091954
UCWs1iht2UHjN5XODx4CdSzw,8,1890000.0,31702.0,0.00025235000946312536
UCWwgaK7x0_FR1goeSRazfsQ,1,7460000.0,2350.0,0.000425531914893617
UCWwqHwqLSrdWMgp5DZG5Dzg,48,23900000.0,2987.0,0.016069635085369936
UCWxCyZibDIWIrGIgP25mbfw,4,8690000.0,811.0,0.004932182490752158
UCX6OQ3DkcsbYNE6H8uQQuVA,1,443000000.0,906.0,0.0011037527593818985
UCXGgrKt94gR6lmN4aN3mYTg,1,5690000.0,2456.0,0.00040716612377850165
UCXIJgqnII2ZOINSWNOGFThA,7,14500000.0,126907.0,5.515850189508853e-05
UCXJDX1KK6t121Z9FLhu5o2A,2,7010000.0,206.0,0.009708737864077669
UCXX1iQGufHujuIvQ38MPKMA,4,491000.0,86.0,0.046511627906976744
UCXZkaZ4f7d3-YuMyy76yS6A,12,7940000.0,52.0,0.23076923076923078
UCXazgXDIYyWH-yXLAkcrFxw,1,40700000.0,745.0,0.0013422818791946308
UCXgXW0kqxnJM66dlh6V5Pxw,1,1620000.0,28.0,0.03571428571428571
UCXjhJbviBl0M4JAC3cxDXqA,55,11800000.0,61336.0,0.000896700143472023
UCXsXitjiT_8qPgNEFGPVfBA,8,4990000.0,218.0,0.03669724770642202
UCXyq6UjvT4dWjMOOiKuBncA,1,3450000.0,3015.0,0.0003316749585406302
UCY30JRSgfhYXA6i6xX1erWg,1,26900000.0,2148.0,0.0004655493482309125
UCY3NEq2LYrmdoGkevo9BH5A,1,1330000.0,2593.0,0.0003856536829926726
UCY3TJECrA90t9YTrxhdjcVw,3,3930000.0,484.0,0.006198347107438017
UCY7dD6waquGnKTZSumPMTlQ,1,2360000.0,3089.0,0.0003237293622531564
UCYFvEPbFbDIVRiODrh1-x4g,1,505000.0,48.0,0.020833333333333332
UCYG6DQUw79szmnuNux_S8pg,2,2930000.0,61.0,0.03278688524590164
UCYLS9TSah19IsB8yyUpiDzg,10,3040000.0,270.0,0.037037037037037035
UCYPvAwZP8pZhSMW8qs7cVCw,8,10800000.0,268867.0,2.9754488278591273e-05
UCYUQQgogVeQY8cMQamhHJcg,5,9190000.0,1757.0,0.0028457598178713715
UCYVinkwSX7szARULgYpvhLw,1,19700000.0,4850.0,0.0002061855670103093
UCYenDLnIHsoqQ6smwKXQ7Hg,1,8490000.0,960.0,0.0010416666666666667
UCYpVqLSvfseUqb2URAkexlw,3,2830000.0,143.0,0.02097902097902098
UCYwyl0lfL0UzP-1LMtcoH-w,13,2770000.0,7951.0,0.0016350144635894855
UCYxRlFDqcWM4y7FfpiAN3KQ,15,2750000.0,1056.0,0.014204545454545454
